%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630047169235810107,1630047169,0,30306,2716.0,4018.0,679.0,0.0,0.0,0.0,0.0
1630047169336703083,1630047169,0,30306,2712.0,4022.0,688.0,0.0,0.0,0.0,0.0
1630047169425331402,1630047169,0,30306,2706.0,4020.0,706.0,0.0,0.0,0.0,0.0
1630047169535218069,1630047169,0,30306,2700.0,4025.0,715.0,0.0,0.0,0.0,0.0
1630047169623807495,1630047169,0,30306,2693.0,4033.0,718.0,0.0,0.0,0.0,0.0
1630047169733902747,1630047169,0,30306,2708.0,4014.0,689.0,0.0,0.0,0.0,0.0
1630047169834942104,1630047169,0,30306,2718.0,3997.0,660.0,0.0,0.0,0.0,0.0
1630047169933779376,1630047169,0,30306,2724.0,3982.0,640.0,0.0,0.0,0.0,0.0
1630047170034875986,1630047170,0,30306,2732.0,3969.0,620.0,0.0,0.0,0.0,0.0
1630047170123691964,1630047170,0,30306,2734.0,3959.0,596.0,0.0,0.0,0.0,0.0
1630047170233062518,1630047170,0,30306,2737.0,3950.0,564.0,0.0,0.0,0.0,0.0
1630047170323467143,1630047170,0,30306,2735.0,3944.0,524.0,0.0,0.0,0.0,0.0
1630047170434963382,1630047170,0,30306,2733.0,3937.0,489.0,0.0,0.0,0.0,0.0
1630047170523399043,1630047170,0,30306,2730.0,3931.0,459.0,0.0,0.0,0.0,0.0
1630047170632871934,1630047170,0,30306,2727.0,3921.0,416.0,0.0,0.0,0.0,0.0
1630047170723029265,1630047170,0,30306,2735.0,3938.0,431.0,0.0,0.0,0.0,0.0
1630047170832449055,1630047170,0,30306,2742.0,3953.0,431.0,0.0,0.0,0.0,0.0
1630047170932417488,1630047170,0,30306,2748.0,3965.0,423.0,0.0,0.0,0.0,0.0
1630047171033720080,1630047171,0,30306,2756.0,3980.0,411.0,0.0,0.0,0.0,0.0
1630047171132994806,1630047171,0,30306,2765.0,3985.0,396.0,0.0,0.0,0.0,0.0
1630047171221588000,1630047171,0,30306,2775.0,3991.0,375.0,0.0,0.0,0.0,0.0
1630047171332871876,1630047171,0,30306,2775.0,3995.0,359.0,0.0,0.0,0.0,0.0
1630047171422018483,1630047171,0,30306,2772.0,3998.0,340.0,0.0,0.0,0.0,0.0
1630047171530751706,1630047171,0,30306,2766.0,4003.0,324.0,0.0,0.0,0.0,0.0
1630047171621315672,1630047171,0,30306,2763.0,4007.0,312.0,0.0,0.0,0.0,0.0
1630047171730580580,1630047171,0,30306,2759.0,4010.0,296.0,0.0,0.0,0.0,0.0
1630047171832718241,1630047171,0,30306,2751.0,4011.0,285.0,0.0,0.0,0.0,0.0
1630047171932445105,1630047171,0,30306,2742.0,4013.0,270.0,0.0,0.0,0.0,0.0
1630047172032120661,1630047172,0,30306,2739.0,4015.0,256.0,0.0,0.0,0.0,0.0
1630047172121868354,1630047172,0,30306,2731.0,4014.0,237.0,0.0,0.0,0.0,0.0
1630047172232260686,1630047172,0,30306,2723.0,4016.0,235.0,0.0,0.0,0.0,0.0
1630047172332386321,1630047172,0,30306,2715.0,4013.0,214.0,0.0,0.0,0.0,0.0
1630047172433562700,1630047172,0,30306,2707.0,4009.0,200.0,0.0,0.0,0.0,0.0
1630047172533216238,1630047172,0,30306,2695.0,4012.0,185.0,0.0,0.0,0.0,0.0
1630047172621273562,1630047172,0,30306,2684.0,4010.0,165.0,0.0,0.0,0.0,0.0
