%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630052241721299412,1630052241,0,30306,674.0,402.0,1159.0,0.0,0.0,0.0,0.0
1630052241721690851,1630052241,0,30306,672.0,403.0,1158.0,0.0,0.0,0.0,0.0
1630052241724112208,1630052241,0,30306,672.0,403.0,1159.0,0.0,0.0,0.0,0.0
1630052241726363588,1630052241,0,30306,669.0,402.0,1157.0,0.0,0.0,0.0,0.0
1630052241739007132,1630052241,0,30306,670.0,400.0,1158.0,0.0,0.0,0.0,0.0
1630052241752404493,1630052241,0,30306,671.0,402.0,1156.0,0.0,0.0,0.0,0.0
1630052241755377450,1630052241,0,30306,671.0,401.0,1155.0,0.0,0.0,0.0,0.0
1630052241787211965,1630052241,0,30306,671.0,400.0,1153.0,0.0,0.0,0.0,0.0
1630052241788829764,1630052241,0,30306,670.0,400.0,1150.0,0.0,0.0,0.0,0.0
1630052241799876955,1630052241,0,30306,670.0,399.0,1148.0,0.0,0.0,0.0,0.0
1630052241804300837,1630052241,0,30306,669.0,397.0,1147.0,0.0,0.0,0.0,0.0
1630052241817995320,1630052241,0,30306,672.0,397.0,1145.0,0.0,0.0,0.0,0.0
1630052241832164979,1630052241,0,30306,671.0,393.0,1141.0,0.0,0.0,0.0,0.0
1630052241835322218,1630052241,0,30306,673.0,391.0,1139.0,0.0,0.0,0.0,0.0
1630052241850048011,1630052241,0,30306,676.0,389.0,1135.0,0.0,0.0,0.0,0.0
1630052241881988643,1630052241,0,30306,682.0,388.0,1126.0,0.0,0.0,0.0,0.0
1630052241883218430,1630052241,0,30306,680.0,386.0,1125.0,0.0,0.0,0.0,0.0
1630052241885424865,1630052241,0,30306,683.0,387.0,1122.0,0.0,0.0,0.0,0.0
1630052241897606062,1630052241,0,30306,684.0,384.0,1121.0,0.0,0.0,0.0,0.0
1630052241901846344,1630052241,0,30306,687.0,385.0,1119.0,0.0,0.0,0.0,0.0
1630052241914995133,1630052241,0,30306,686.0,382.0,1120.0,0.0,0.0,0.0,0.0
1630052241928898637,1630052241,0,30306,687.0,376.0,1119.0,0.0,0.0,0.0,0.0
1630052241942220508,1630052241,0,30306,687.0,376.0,1119.0,0.0,0.0,0.0,0.0
1630052241973203029,1630052241,0,30306,692.0,372.0,1116.0,0.0,0.0,0.0,0.0
1630052241973576509,1630052241,0,30306,695.0,371.0,1110.0,0.0,0.0,0.0,0.0
1630052241975535447,1630052241,0,30306,696.0,368.0,1112.0,0.0,0.0,0.0,0.0
1630052241977699111,1630052241,0,30306,700.0,367.0,1107.0,0.0,0.0,0.0,0.0
1630052241989919795,1630052241,0,30306,702.0,365.0,1107.0,0.0,0.0,0.0,0.0
1630052242020730911,1630052241,0,30306,705.0,365.0,1103.0,0.0,0.0,0.0,0.0
1630052242021172916,1630052241,0,30306,706.0,362.0,1105.0,0.0,0.0,0.0,0.0
1630052242022606270,1630052241,0,30306,710.0,360.0,1100.0,0.0,0.0,0.0,0.0
1630052242024767230,1630052241,0,30306,709.0,356.0,1101.0,0.0,0.0,0.0,0.0
1630052242037429121,1630052242,0,30306,713.0,355.0,1100.0,0.0,0.0,0.0,0.0
1630052242050591054,1630052242,0,30306,716.0,351.0,1099.0,0.0,0.0,0.0,0.0
1630052242093257947,1630052242,0,30306,719.0,349.0,1098.0,0.0,0.0,0.0,0.0
1630052242093626138,1630052242,0,30306,722.0,344.0,1095.0,0.0,0.0,0.0,0.0
1630052242095301858,1630052242,0,30306,719.0,345.0,1098.0,0.0,0.0,0.0,0.0
1630052242095719697,1630052242,0,30306,719.0,349.0,1100.0,0.0,0.0,0.0,0.0
1630052242097642985,1630052242,0,30306,718.0,350.0,1102.0,0.0,0.0,0.0,0.0
1630052242101862824,1630052242,0,30306,720.0,351.0,1102.0,0.0,0.0,0.0,0.0
1630052242111854239,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630052242116530800,1630052242,0,30306,719.0,351.0,1102.0,0.0,0.0,0.0,0.0
1630052242128953184,1630052242,0,30306,721.0,354.0,1101.0,0.0,0.0,0.0,0.0
1630052242132965148,1630052242,0,30306,719.0,354.0,1099.0,0.0,0.0,0.0,0.0
1630052242145459590,1630052242,0,30306,719.0,356.0,1099.0,0.0,0.0,0.0,0.0
1630052242176295228,1630052242,0,30306,717.0,363.0,1095.0,0.0,0.0,0.0,0.0
1630052242176965034,1630052242,0,30306,718.0,363.0,1095.0,0.0,0.0,0.0,0.0
1630052242179438773,1630052242,0,30306,715.0,365.0,1099.0,0.0,0.0,0.0,0.0
1630052242181672321,1630052242,0,30306,713.0,366.0,1098.0,0.0,0.0,0.0,0.0
1630052242193003946,1630052242,0,30306,714.0,371.0,1096.0,0.0,0.0,0.0,0.0
1630052242223660482,1630052242,0,30306,718.0,373.0,1090.0,0.0,0.0,0.0,0.0
1630052242225139400,1630052242,0,30306,720.0,376.0,1087.0,0.0,0.0,0.0,0.0
1630052242227780716,1630052242,0,30306,720.0,374.0,1084.0,0.0,0.0,0.0,0.0
1630052242241451261,1630052242,0,30306,721.0,375.0,1081.0,0.0,0.0,0.0,0.0
1630052242254749103,1630052242,0,30306,720.0,373.0,1076.0,0.0,0.0,0.0,0.0
1630052242274154535,1630052242,0,30306,721.0,377.0,1072.0,0.0,0.0,0.0,0.0
1630052242274533335,1630052242,0,30306,723.0,377.0,1068.0,0.0,0.0,0.0,0.0
1630052242276180275,1630052242,0,30306,724.0,379.0,1064.0,0.0,0.0,0.0,0.0
1630052242287605224,1630052242,0,30306,725.0,381.0,1061.0,0.0,0.0,0.0,0.0
1630052242305417921,1630052242,0,30306,725.0,389.0,1056.0,0.0,0.0,0.0,0.0
1630052242307470370,1630052242,0,30306,725.0,390.0,1058.0,0.0,0.0,0.0,0.0
1630052242318768411,1630052242,0,30306,722.0,392.0,1057.0,0.0,0.0,0.0,0.0
1630052242320812873,1630052242,0,30306,719.0,393.0,1059.0,0.0,0.0,0.0,0.0
1630052242335537357,1630052242,0,30306,718.0,396.0,1055.0,0.0,0.0,0.0,0.0
1630052242347885640,1630052242,0,30306,712.0,393.0,1062.0,0.0,0.0,0.0,0.0
1630052242352669575,1630052242,0,30306,712.0,395.0,1061.0,0.0,0.0,0.0,0.0
1630052242365762469,1630052242,0,30306,711.0,393.0,1059.0,0.0,0.0,0.0,0.0
1630052242367944873,1630052242,0,30306,707.0,395.0,1062.0,0.0,0.0,0.0,0.0
1630052242381296623,1630052242,0,30306,705.0,396.0,1064.0,0.0,0.0,0.0,0.0
1630052242395747436,1630052242,0,30306,706.0,396.0,1059.0,0.0,0.0,0.0,0.0
1630052242398964497,1630052242,0,30306,703.0,398.0,1059.0,0.0,0.0,0.0,0.0
1630052242412275255,1630052242,0,30306,702.0,397.0,1055.0,0.0,0.0,0.0,0.0
1630052242427276812,1630052242,0,30306,702.0,398.0,1052.0,0.0,0.0,0.0,0.0
1630052242447232360,1630052242,0,30306,700.0,397.0,1054.0,0.0,0.0,0.0,0.0
1630052242447797808,1630052242,0,30306,699.0,395.0,1050.0,0.0,0.0,0.0,0.0
1630052242449807273,1630052242,0,30306,695.0,397.0,1055.0,0.0,0.0,0.0,0.0
