%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630051537584840563,1630051537,0,30306,672.0,1039.0,1231.0,0.0,0.0,0.0,0.0
1630051537686487496,1630051537,0,30306,661.0,1046.0,1241.0,0.0,0.0,0.0,0.0
1630051537775553521,1630051537,0,30306,709.0,1041.0,1234.0,0.0,0.0,0.0,0.0
1630051537884742735,1630051537,0,30306,741.0,1041.0,1228.0,0.0,0.0,0.0,0.0
1630051537975788322,1630051537,0,30306,761.0,1026.0,1225.0,0.0,0.0,0.0,0.0
1630051538085514861,1630051538,0,30306,772.0,1023.0,1218.0,0.0,0.0,0.0,0.0
1630051538174818542,1630051538,0,30306,795.0,1021.0,1166.0,0.0,0.0,0.0,0.0
1630051538284195841,1630051538,0,30306,777.0,1044.0,1163.0,0.0,0.0,0.0,0.0
1630051538385774230,1630051538,0,30306,761.0,1067.0,1163.0,0.0,0.0,0.0,0.0
1630051538475707037,1630051538,0,30306,746.0,1080.0,1162.0,0.0,0.0,0.0,0.0
1630051538586270112,1630051538,0,30306,742.0,1089.0,1151.0,0.0,0.0,0.0,0.0
1630051538675425640,1630051538,0,30306,735.0,1091.0,1140.0,0.0,0.0,0.0,0.0
1630051538784843267,1630051538,0,30306,761.0,1109.0,1132.0,0.0,0.0,0.0,0.0
1630051538873930405,1630051538,0,30306,783.0,1126.0,1127.0,0.0,0.0,0.0,0.0
1630051538984087826,1630051538,0,30306,796.0,1135.0,1131.0,0.0,0.0,0.0,0.0
1630051539075133963,1630051539,0,30306,800.0,1149.0,1116.0,0.0,0.0,0.0,0.0
1630051539184000647,1630051539,0,30306,799.0,1156.0,1112.0,0.0,0.0,0.0,0.0
1630051539274681902,1630051539,0,30306,804.0,1160.0,1105.0,0.0,0.0,0.0,0.0
1630051539385737421,1630051539,0,30306,799.0,1164.0,1096.0,0.0,0.0,0.0,0.0
1630051539475970727,1630051539,0,30306,799.0,1157.0,1092.0,0.0,0.0,0.0,0.0
1630051539584614614,1630051539,0,30306,802.0,1151.0,1116.0,0.0,0.0,0.0,0.0
1630051539674445531,1630051539,0,30306,803.0,1137.0,1130.0,0.0,0.0,0.0,0.0
1630051539773924465,1630051539,0,30306,842.0,1129.0,1126.0,0.0,0.0,0.0,0.0
1630051539884535654,1630051539,0,30306,883.0,1113.0,1110.0,0.0,0.0,0.0,0.0
1630051539973661502,1630051539,0,30306,920.0,1087.0,1099.0,0.0,0.0,0.0,0.0
1630051540084990032,1630051540,0,30306,948.0,1062.0,1093.0,0.0,0.0,0.0,0.0
1630051540185009300,1630051540,0,30306,962.0,1040.0,1094.0,0.0,0.0,0.0,0.0
1630051540284653601,1630051540,0,30306,973.0,1028.0,1100.0,0.0,0.0,0.0,0.0
1630051540385439000,1630051540,0,30306,967.0,1031.0,1094.0,0.0,0.0,0.0,0.0
1630051540474417545,1630051540,0,30306,967.0,1045.0,1090.0,0.0,0.0,0.0,0.0
1630051540585809880,1630051540,0,30306,990.0,1052.0,1064.0,0.0,0.0,0.0,0.0
1630051540675447515,1630051540,0,30306,1008.0,1065.0,1076.0,0.0,0.0,0.0,0.0
1630051540786289619,1630051540,0,30306,989.0,1094.0,1119.0,0.0,0.0,0.0,0.0
1630051540886589471,1630051540,0,30306,978.0,1087.0,1164.0,0.0,0.0,0.0,0.0
1630051540975646354,1630051540,0,30306,962.0,1093.0,1194.0,0.0,0.0,0.0,0.0
1630051541085104133,1630051541,0,30306,960.0,1108.0,1233.0,0.0,0.0,0.0,0.0
1630051541175134401,1630051541,0,30306,968.0,1158.0,1238.0,0.0,0.0,0.0,0.0
1630051541285050987,1630051541,0,30306,981.0,1189.0,1233.0,0.0,0.0,0.0,0.0
1630051541374931737,1630051541,0,30306,1030.0,1185.0,1224.0,0.0,0.0,0.0,0.0
1630051541474325994,1630051541,0,30306,1044.0,1204.0,1241.0,0.0,0.0,0.0,0.0
1630051541585623894,1630051541,0,30306,1050.0,1227.0,1233.0,0.0,0.0,0.0,0.0
1630051541674853183,1630051541,0,30306,1052.0,1215.0,1239.0,0.0,0.0,0.0,0.0
1630051541785346107,1630051541,0,30306,1037.0,1206.0,1199.0,0.0,0.0,0.0,0.0
1630051541875873645,1630051541,0,30306,1024.0,1212.0,1184.0,0.0,0.0,0.0,0.0
1630051541985504790,1630051541,0,30306,1041.0,1209.0,1197.0,0.0,0.0,0.0,0.0
1630051542074901524,1630051542,0,30306,1059.0,1196.0,1166.0,0.0,0.0,0.0,0.0
1630051542185338529,1630051542,0,30306,1080.0,1194.0,1146.0,0.0,0.0,0.0,0.0
1630051542283736090,1630051542,0,30306,1122.0,1173.0,1108.0,0.0,0.0,0.0,0.0
1630051542372754531,1630051542,0,30306,1192.0,1189.0,1118.0,0.0,0.0,0.0,0.0
1630051542483960862,1630051542,0,30306,1292.0,1195.0,1146.0,0.0,0.0,0.0,0.0
