%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630051658606075328,1630051658,0,30306,629.0,665.0,1025.0,0.0,0.0,0.0,0.0
1630051658696121645,1630051658,0,30306,617.0,676.0,1041.0,0.0,0.0,0.0,0.0
1630051658805855733,1630051658,0,30306,614.0,678.0,1007.0,0.0,0.0,0.0,0.0
1630051658895165990,1630051658,0,30306,615.0,687.0,1004.0,0.0,0.0,0.0,0.0
1630051659004299235,1630051658,0,30306,611.0,707.0,975.0,0.0,0.0,0.0,0.0
1630051659095426450,1630051659,0,30306,607.0,709.0,963.0,0.0,0.0,0.0,0.0
1630051659207856766,1630051659,0,30306,598.0,710.0,962.0,0.0,0.0,0.0,0.0
1630051659296553370,1630051659,0,30306,596.0,719.0,956.0,0.0,0.0,0.0,0.0
1630051659407052531,1630051659,0,30306,597.0,719.0,971.0,0.0,0.0,0.0,0.0
1630051659505174983,1630051659,0,30306,599.0,721.0,974.0,0.0,0.0,0.0,0.0
1630051659615012389,1630051659,0,30306,588.0,731.0,979.0,0.0,0.0,0.0,0.0
1630051659704798642,1630051659,0,30306,589.0,751.0,965.0,0.0,0.0,0.0,0.0
1630051659794447788,1630051659,0,30306,597.0,725.0,973.0,0.0,0.0,0.0,0.0
1630051659905864920,1630051659,0,30306,598.0,709.0,967.0,0.0,0.0,0.0,0.0
1630051660005682281,1630051659,0,30306,597.0,706.0,966.0,0.0,0.0,0.0,0.0
1630051660094643335,1630051660,0,30306,596.0,700.0,973.0,0.0,0.0,0.0,0.0
1630051660204496087,1630051660,0,30306,605.0,688.0,985.0,0.0,0.0,0.0,0.0
1630051660294721544,1630051660,0,30306,611.0,686.0,996.0,0.0,0.0,0.0,0.0
1630051660404994703,1630051660,0,30306,616.0,687.0,1004.0,0.0,0.0,0.0,0.0
1630051660504114903,1630051660,0,30306,615.0,688.0,1021.0,0.0,0.0,0.0,0.0
1630051660594613391,1630051660,0,30306,617.0,690.0,1030.0,0.0,0.0,0.0,0.0
1630051660703760849,1630051660,0,30306,619.0,704.0,1040.0,0.0,0.0,0.0,0.0
1630051660793785110,1630051660,0,30306,619.0,704.0,1017.0,0.0,0.0,0.0,0.0
1630051660904874522,1630051660,0,30306,618.0,710.0,993.0,0.0,0.0,0.0,0.0
1630051661003059118,1630051660,0,30306,614.0,717.0,979.0,0.0,0.0,0.0,0.0
1630051661104111245,1630051661,0,30306,605.0,725.0,976.0,0.0,0.0,0.0,0.0
1630051661203097162,1630051661,0,30306,598.0,731.0,974.0,0.0,0.0,0.0,0.0
1630051661304278683,1630051661,0,30306,597.0,737.0,971.0,0.0,0.0,0.0,0.0
1630051661403084792,1630051661,0,30306,598.0,747.0,963.0,0.0,0.0,0.0,0.0
1630051661511914550,1630051661,0,30306,605.0,752.0,961.0,0.0,0.0,0.0,0.0
1630051661602576089,1630051661,0,30306,610.0,762.0,960.0,0.0,0.0,0.0,0.0
1630051661712434310,1630051661,0,30306,614.0,768.0,969.0,0.0,0.0,0.0,0.0
1630051661802233929,1630051661,0,30306,621.0,750.0,970.0,0.0,0.0,0.0,0.0
1630051661912552839,1630051661,0,30306,620.0,737.0,971.0,0.0,0.0,0.0,0.0
1630051662002063135,1630051661,0,30306,620.0,720.0,969.0,0.0,0.0,0.0,0.0
1630051662111805836,1630051662,0,30306,619.0,703.0,963.0,0.0,0.0,0.0,0.0
1630051662202235663,1630051662,0,30306,621.0,690.0,950.0,0.0,0.0,0.0,0.0
1630051662292006632,1630051662,0,30306,628.0,683.0,947.0,0.0,0.0,0.0,0.0
1630051662401306100,1630051662,0,30306,634.0,674.0,943.0,0.0,0.0,0.0,0.0
1630051662511511040,1630051662,0,30306,650.0,668.0,938.0,0.0,0.0,0.0,0.0
1630051662600226902,1630051662,0,30306,667.0,656.0,927.0,0.0,0.0,0.0,0.0
1630051662711489852,1630051662,0,30306,685.0,650.0,902.0,0.0,0.0,0.0,0.0
1630051662800202119,1630051662,0,30306,673.0,659.0,909.0,0.0,0.0,0.0,0.0
1630051662909894221,1630051662,0,30306,677.0,663.0,907.0,0.0,0.0,0.0,0.0
1630051662999874258,1630051662,0,30306,678.0,665.0,898.0,0.0,0.0,0.0,0.0
1630051663109172175,1630051663,0,30306,686.0,666.0,892.0,0.0,0.0,0.0,0.0
1630051663198175202,1630051663,0,30306,700.0,668.0,877.0,0.0,0.0,0.0,0.0
1630051663308794522,1630051663,0,30306,714.0,662.0,854.0,0.0,0.0,0.0,0.0
1630051663397366525,1630051663,0,30306,732.0,660.0,822.0,0.0,0.0,0.0,0.0
1630051663507248074,1630051663,0,30306,746.0,648.0,791.0,0.0,0.0,0.0,0.0
1630051663607064457,1630051663,0,30306,747.0,648.0,763.0,0.0,0.0,0.0,0.0
1630051663697109867,1630051663,0,30306,763.0,634.0,754.0,0.0,0.0,0.0,0.0
1630051663806863539,1630051663,0,30306,724.0,655.0,807.0,0.0,0.0,0.0,0.0
1630051663896564473,1630051663,0,30306,707.0,654.0,823.0,0.0,0.0,0.0,0.0
1630051664007173317,1630051663,0,30306,685.0,645.0,860.0,0.0,0.0,0.0,0.0
1630051664095740056,1630051664,0,30306,683.0,648.0,849.0,0.0,0.0,0.0,0.0
1630051664205908947,1630051664,0,30306,677.0,634.0,870.0,0.0,0.0,0.0,0.0
1630051664296063279,1630051664,0,30306,691.0,612.0,881.0,0.0,0.0,0.0,0.0
1630051664406342278,1630051664,0,30306,715.0,584.0,885.0,0.0,0.0,0.0,0.0
1630051664495516128,1630051664,0,30306,732.0,574.0,901.0,0.0,0.0,0.0,0.0
1630051664603748380,1630051664,0,30306,765.0,583.0,921.0,0.0,0.0,0.0,0.0
1630051664704036416,1630051664,0,30306,825.0,612.0,919.0,0.0,0.0,0.0,0.0
1630051664814114468,1630051664,0,30306,868.0,650.0,985.0,0.0,0.0,0.0,0.0
1630051664926097904,1630051664,0,30306,931.0,683.0,1028.0,0.0,0.0,0.0,0.0
1630051664992977663,1630051664,0,30306,986.0,708.0,1074.0,0.0,0.0,0.0,0.0
1630051665102901737,1630051665,0,30306,1049.0,713.0,1069.0,0.0,0.0,0.0,0.0
1630051665203167359,1630051665,0,30306,1098.0,712.0,1102.0,0.0,0.0,0.0,0.0
1630051665303836898,1630051665,0,30306,1137.0,730.0,1145.0,0.0,0.0,0.0,0.0
1630051665403845529,1630051665,0,30306,1196.0,741.0,1148.0,0.0,0.0,0.0,0.0
1630051665504207197,1630051665,0,30306,1255.0,746.0,1158.0,0.0,0.0,0.0,0.0
1630051665602735108,1630051665,0,30306,1313.0,738.0,1188.0,0.0,0.0,0.0,0.0
1630051665692742908,1630051665,0,30306,1357.0,738.0,1206.0,0.0,0.0,0.0,0.0
1630051665802858218,1630051665,0,30306,1411.0,744.0,1258.0,0.0,0.0,0.0,0.0
1630051665903008663,1630051665,0,30306,1462.0,750.0,1299.0,0.0,0.0,0.0,0.0
1630051666003089272,1630051665,0,30306,1522.0,786.0,1297.0,0.0,0.0,0.0,0.0
1630051666102659243,1630051666,0,30306,1606.0,818.0,1327.0,0.0,0.0,0.0,0.0
1630051666212912714,1630051666,0,30306,1681.0,862.0,1379.0,0.0,0.0,0.0,0.0
1630051666301448013,1630051666,0,30306,1734.0,879.0,1496.0,0.0,0.0,0.0,0.0
1630051666412560268,1630051666,0,30306,1796.0,912.0,1592.0,0.0,0.0,0.0,0.0
1630051666501608183,1630051666,0,30306,1822.0,903.0,1591.0,0.0,0.0,0.0,0.0
1630051666602033209,1630051666,0,30306,1856.0,911.0,1611.0,0.0,0.0,0.0,0.0
1630051666703094511,1630051666,0,30306,1874.0,894.0,1575.0,0.0,0.0,0.0,0.0
1630051666796629554,1630051666,0,30306,1893.0,856.0,1518.0,0.0,0.0,0.0,0.0
1630051666906707734,1630051666,0,30306,1883.0,822.0,1479.0,0.0,0.0,0.0,0.0
1630051667005962566,1630051666,0,30306,1923.0,830.0,1500.0,0.0,0.0,0.0,0.0
1630051667095159624,1630051667,0,30306,1970.0,785.0,1441.0,0.0,0.0,0.0,0.0
1630051667205349214,1630051667,0,30306,2060.0,822.0,1397.0,0.0,0.0,0.0,0.0
1630051667295816848,1630051667,0,30306,2159.0,864.0,1360.0,0.0,0.0,0.0,0.0
1630051667405236713,1630051667,0,30306,2244.0,884.0,1408.0,0.0,0.0,0.0,0.0
1630051667505021100,1630051667,0,30306,2204.0,848.0,1417.0,0.0,0.0,0.0,0.0
1630051667605270330,1630051667,0,30306,2187.0,828.0,1508.0,0.0,0.0,0.0,0.0
1630051667705599100,1630051667,0,30306,2182.0,802.0,1441.0,0.0,0.0,0.0,0.0
1630051667795097029,1630051667,0,30306,2185.0,772.0,1436.0,0.0,0.0,0.0,0.0
1630051667904924974,1630051667,0,30306,2190.0,750.0,1404.0,0.0,0.0,0.0,0.0
1630051667993743964,1630051667,0,30306,2275.0,788.0,1454.0,0.0,0.0,0.0,0.0
1630051668105260281,1630051668,0,30306,2291.0,764.0,1400.0,0.0,0.0,0.0,0.0
1630051668194111639,1630051668,0,30306,2363.0,802.0,1433.0,0.0,0.0,0.0,0.0
1630051668305066635,1630051668,0,30306,2383.0,797.0,1415.0,0.0,0.0,0.0,0.0
1630051668403755371,1630051668,0,30306,2420.0,791.0,1388.0,0.0,0.0,0.0,0.0
1630051668493587008,1630051668,0,30306,2470.0,809.0,1474.0,0.0,0.0,0.0,0.0
1630051668604272982,1630051668,0,30306,2470.0,777.0,1412.0,0.0,0.0,0.0,0.0
1630051668705079212,1630051668,0,30306,2533.0,807.0,1453.0,0.0,0.0,0.0,0.0
1630051668814285043,1630051668,0,30306,2568.0,871.0,1522.0,0.0,0.0,0.0,0.0
1630051668903361930,1630051668,0,30306,2575.0,880.0,1553.0,0.0,0.0,0.0,0.0
1630051669013374727,1630051668,0,30306,2564.0,852.0,1516.0,0.0,0.0,0.0,0.0
1630051669104267033,1630051669,0,30306,2538.0,837.0,1449.0,0.0,0.0,0.0,0.0
1630051669214165120,1630051669,0,30306,2544.0,819.0,1431.0,0.0,0.0,0.0,0.0
1630051669302864079,1630051669,0,30306,2562.0,803.0,1415.0,0.0,0.0,0.0,0.0
1630051669393657272,1630051669,0,30306,2596.0,789.0,1413.0,0.0,0.0,0.0,0.0
1630051669503223761,1630051669,0,30306,2678.0,838.0,1489.0,0.0,0.0,0.0,0.0
1630051669602254643,1630051669,0,30306,2695.0,815.0,1456.0,0.0,0.0,0.0,0.0
1630051669712882825,1630051669,0,30306,2734.0,804.0,1465.0,0.0,0.0,0.0,0.0
1630051669800690052,1630051669,0,30306,2738.0,822.0,1456.0,0.0,0.0,0.0,0.0
1630051669901414059,1630051669,0,30306,2751.0,820.0,1458.0,0.0,0.0,0.0,0.0
1630051670001151659,1630051669,0,30306,2774.0,823.0,1465.0,0.0,0.0,0.0,0.0
1630051670101307263,1630051670,0,30306,2787.0,831.0,1448.0,0.0,0.0,0.0,0.0
1630051670211519537,1630051670,0,30306,2811.0,839.0,1464.0,0.0,0.0,0.0,0.0
1630051670299863365,1630051670,0,30306,2851.0,836.0,1441.0,0.0,0.0,0.0,0.0
1630051670409990349,1630051670,0,30306,2868.0,834.0,1443.0,0.0,0.0,0.0,0.0
1630051670499849140,1630051670,0,30306,2882.0,837.0,1449.0,0.0,0.0,0.0,0.0
1630051670599541347,1630051670,0,30306,2905.0,839.0,1471.0,0.0,0.0,0.0,0.0
1630051670710291871,1630051670,0,30306,2931.0,847.0,1480.0,0.0,0.0,0.0,0.0
1630051670799996177,1630051670,0,30306,2953.0,848.0,1479.0,0.0,0.0,0.0,0.0
1630051670909480407,1630051670,0,30306,2986.0,852.0,1446.0,0.0,0.0,0.0,0.0
1630051670998235309,1630051670,0,30306,3036.0,873.0,1464.0,0.0,0.0,0.0,0.0
1630051671109228849,1630051671,0,30306,3134.0,925.0,1549.0,0.0,0.0,0.0,0.0
1630051671209005584,1630051671,0,30306,3232.0,998.0,1656.0,0.0,0.0,0.0,0.0
1630051671299160451,1630051671,0,30306,3240.0,980.0,1662.0,0.0,0.0,0.0,0.0
1630051671408577916,1630051671,0,30306,3226.0,950.0,1609.0,0.0,0.0,0.0,0.0
1630051671498106355,1630051671,0,30306,3193.0,901.0,1542.0,0.0,0.0,0.0,0.0
1630051671609514776,1630051671,0,30306,3155.0,860.0,1484.0,0.0,0.0,0.0,0.0
1630051671698235177,1630051671,0,30306,3146.0,837.0,1447.0,0.0,0.0,0.0,0.0
1630051671808730204,1630051671,0,30306,3185.0,813.0,1411.0,0.0,0.0,0.0,0.0
1630051671909563711,1630051671,0,30306,3204.0,780.0,1379.0,0.0,0.0,0.0,0.0
1630051672007535281,1630051671,0,30306,3245.0,780.0,1384.0,0.0,0.0,0.0,0.0
1630051672107931621,1630051672,0,30306,3286.0,756.0,1357.0,0.0,0.0,0.0,0.0
