%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630051791130269916,1630051791,0,30306,308.0,623.0,514.0,0.0,0.0,0.0,0.0
1630051791220146494,1630051791,0,30306,320.0,622.0,500.0,0.0,0.0,0.0,0.0
1630051791329852903,1630051791,0,30306,321.0,622.0,501.0,0.0,0.0,0.0,0.0
1630051791419739666,1630051791,0,30306,321.0,625.0,489.0,0.0,0.0,0.0,0.0
1630051791528151798,1630051791,0,30306,324.0,629.0,479.0,0.0,0.0,0.0,0.0
1630051791617594349,1630051791,0,30306,326.0,634.0,476.0,0.0,0.0,0.0,0.0
1630051791728202001,1630051791,0,30306,329.0,642.0,470.0,0.0,0.0,0.0,0.0
1630051791827919395,1630051791,0,30306,325.0,627.0,471.0,0.0,0.0,0.0,0.0
1630051791917928512,1630051791,0,30306,330.0,617.0,471.0,0.0,0.0,0.0,0.0
1630051792028465153,1630051791,0,30306,333.0,607.0,471.0,0.0,0.0,0.0,0.0
1630051792118362829,1630051792,0,30306,330.0,607.0,480.0,0.0,0.0,0.0,0.0
1630051792227878756,1630051792,0,30306,324.0,608.0,500.0,0.0,0.0,0.0,0.0
1630051792317460804,1630051792,0,30306,308.0,602.0,526.0,0.0,0.0,0.0,0.0
1630051792426460795,1630051792,0,30306,303.0,595.0,543.0,0.0,0.0,0.0,0.0
1630051792515938834,1630051792,0,30306,281.0,596.0,575.0,0.0,0.0,0.0,0.0
1630051792627129503,1630051792,0,30306,256.0,602.0,605.0,0.0,0.0,0.0,0.0
1630051792714812346,1630051792,0,30306,238.0,602.0,622.0,0.0,0.0,0.0,0.0
1630051792826227226,1630051792,0,30306,231.0,599.0,623.0,0.0,0.0,0.0,0.0
1630051792926208050,1630051792,0,30306,221.0,597.0,643.0,0.0,0.0,0.0,0.0
1630051793015517048,1630051792,0,30306,201.0,596.0,669.0,0.0,0.0,0.0,0.0
1630051793126045387,1630051793,0,30306,190.0,587.0,690.0,0.0,0.0,0.0,0.0
1630051793216325195,1630051793,0,30306,181.0,575.0,708.0,0.0,0.0,0.0,0.0
1630051793326213983,1630051793,0,30306,169.0,568.0,733.0,0.0,0.0,0.0,0.0
1630051793416138819,1630051793,0,30306,159.0,564.0,753.0,0.0,0.0,0.0,0.0
1630051793526586717,1630051793,0,30306,138.0,555.0,779.0,0.0,0.0,0.0,0.0
1630051793615740153,1630051793,0,30306,121.0,546.0,799.0,0.0,0.0,0.0,0.0
1630051793725413502,1630051793,0,30306,106.0,540.0,835.0,0.0,0.0,0.0,0.0
1630051793824812306,1630051793,0,30306,121.0,563.0,820.0,0.0,0.0,0.0,0.0
1630051793915312486,1630051793,0,30306,128.0,583.0,814.0,0.0,0.0,0.0,0.0
1630051794024609887,1630051793,0,30306,137.0,592.0,809.0,0.0,0.0,0.0,0.0
1630051794113337485,1630051794,0,30306,152.0,599.0,787.0,0.0,0.0,0.0,0.0
1630051794224496745,1630051794,0,30306,154.0,601.0,781.0,0.0,0.0,0.0,0.0
1630051794323633267,1630051794,0,30306,140.0,596.0,780.0,0.0,0.0,0.0,0.0
1630051794414306232,1630051794,0,30306,133.0,590.0,777.0,0.0,0.0,0.0,0.0
1630051794524035871,1630051794,0,30306,139.0,583.0,773.0,0.0,0.0,0.0,0.0
1630051794613013062,1630051794,0,30306,141.0,570.0,771.0,0.0,0.0,0.0,0.0
1630051794723243788,1630051794,0,30306,148.0,552.0,770.0,0.0,0.0,0.0,0.0
1630051794821756021,1630051794,0,30306,191.0,562.0,709.0,0.0,0.0,0.0,0.0
1630051794944739751,1630051794,0,30306,225.0,569.0,659.0,0.0,0.0,0.0,0.0
1630051795022371259,1630051794,0,30306,253.0,569.0,611.0,0.0,0.0,0.0,0.0
1630051795111420928,1630051795,0,30306,269.0,564.0,569.0,0.0,0.0,0.0,0.0
1630051795220664909,1630051795,0,30306,282.0,561.0,533.0,0.0,0.0,0.0,0.0
1630051795310514612,1630051795,0,30306,291.0,550.0,506.0,0.0,0.0,0.0,0.0
1630051795421000976,1630051795,0,30306,297.0,542.0,500.0,0.0,0.0,0.0,0.0
1630051795520351121,1630051795,0,30306,320.0,528.0,482.0,0.0,0.0,0.0,0.0
1630051795631080924,1630051795,0,30306,334.0,510.0,473.0,0.0,0.0,0.0,0.0
1630051795721982179,1630051795,0,30306,357.0,508.0,473.0,0.0,0.0,0.0,0.0
1630051795831652586,1630051795,0,30306,413.0,551.0,446.0,0.0,0.0,0.0,0.0
1630051795921362744,1630051795,0,30306,451.0,580.0,413.0,0.0,0.0,0.0,0.0
1630051796010289404,1630051795,0,30306,478.0,591.0,382.0,0.0,0.0,0.0,0.0
1630051796121394288,1630051796,0,30306,493.0,595.0,349.0,0.0,0.0,0.0,0.0
1630051796210131478,1630051796,0,30306,501.0,603.0,335.0,0.0,0.0,0.0,0.0
1630051796320128610,1630051796,0,30306,507.0,605.0,315.0,0.0,0.0,0.0,0.0
1630051796420672420,1630051796,0,30306,507.0,610.0,292.0,0.0,0.0,0.0,0.0
