%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630063066263355411,1630063066,0,vb6b0001,1459.0,3265.0,1501.0,0.0,0.0,0.0,0.0
1630063066269463072,1630063066,0,vb6b0001,1459.0,3266.0,1498.0,0.0,0.0,0.0,0.0
1630063066280561430,1630063066,0,vb6b0001,1459.0,3267.0,1498.0,0.0,0.0,0.0,0.0
1630063066287878704,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066298582146,1630063066,0,vb6b0001,1458.0,3269.0,1492.0,0.0,0.0,0.0,0.0
1630063066300832617,1630063066,0,vb6b0001,1458.0,3269.0,1492.0,0.0,0.0,0.0,0.0
1630063066310779555,1630063066,0,vb6b0001,1458.0,3270.0,1490.0,0.0,0.0,0.0,0.0
1630063066316525020,1630063066,0,vb6b0001,1458.0,3271.0,1487.0,0.0,0.0,0.0,0.0
1630063066328978524,1630063066,0,vb6b0001,1461.0,3272.0,1485.0,0.0,0.0,0.0,0.0
1630063066331247800,1630063066,0,vb6b0001,1463.0,3272.0,1485.0,0.0,0.0,0.0,0.0
1630063066337673738,1630063066,0,vb6b0001,1463.0,3271.0,1482.0,0.0,0.0,0.0,0.0
1630063066344543931,1630063066,0,vb6b0001,1463.0,3271.0,1482.0,0.0,0.0,0.0,0.0
1630063066355454390,1630063066,0,vb6b0001,1464.0,3270.0,1478.0,0.0,0.0,0.0,0.0
1630063066362000830,1630063066,0,vb6b0001,1465.0,3271.0,1477.0,0.0,0.0,0.0,0.0
1630063066368830726,1630063066,0,vb6b0001,1465.0,3274.0,1471.0,0.0,0.0,0.0,0.0
1630063066380419741,1630063066,0,vb6b0001,1466.0,3275.0,1469.0,0.0,0.0,0.0,0.0
1630063066386122435,1630063066,0,vb6b0001,1466.0,3276.0,1467.0,0.0,0.0,0.0,0.0
1630063066392553905,1630063066,0,vb6b0001,1465.0,3277.0,1466.0,0.0,0.0,0.0,0.0
1630063066400478404,1630063066,0,vb6b0001,1466.0,3278.0,1463.0,0.0,0.0,0.0,0.0
1630063066410379588,1630063066,0,vb6b0001,1466.0,3280.0,1460.0,0.0,0.0,0.0,0.0
1630063066417147744,1630063066,0,vb6b0001,1466.0,3280.0,1460.0,0.0,0.0,0.0,0.0
1630063066419172513,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066428530992,1630063066,0,vb6b0001,1467.0,3282.0,1458.0,0.0,0.0,0.0,0.0
1630063066431333571,1630063066,0,vb6b0001,1467.0,3282.0,1457.0,0.0,0.0,0.0,0.0
1630063066439719349,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066442049028,1630063066,0,vb6b0001,1467.0,3284.0,1451.0,0.0,0.0,0.0,0.0
1630063066450483463,1630063066,0,vb6b0001,1467.0,3284.0,1449.0,0.0,0.0,0.0,0.0
1630063066456993606,1630063066,0,vb6b0001,1467.0,3285.0,1450.0,0.0,0.0,0.0,0.0
1630063066466017824,1630063066,0,vb6b0001,1468.0,3284.0,1449.0,0.0,0.0,0.0,0.0
1630063066472705198,1630063066,0,vb6b0001,1469.0,3283.0,1451.0,0.0,0.0,0.0,0.0
1630063066483522514,1630063066,0,vb6b0001,1470.0,3281.0,1453.0,0.0,0.0,0.0,0.0
1630063066489976651,1630063066,0,vb6b0001,1470.0,3281.0,1452.0,0.0,0.0,0.0,0.0
1630063066492020136,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066504677404,1630063066,0,vb6b0001,1469.0,3279.0,1451.0,0.0,0.0,0.0,0.0
1630063066506954596,1630063066,0,vb6b0001,1470.0,3278.0,1451.0,0.0,0.0,0.0,0.0
1630063066510875512,1630063066,0,vb6b0001,1469.0,3276.0,1451.0,0.0,0.0,0.0,0.0
1630063066519242817,1630063066,0,vb6b0001,1469.0,3274.0,1451.0,0.0,0.0,0.0,0.0
1630063066529285777,1630063066,0,vb6b0001,1467.0,3272.0,1450.0,0.0,0.0,0.0,0.0
1630063066536020322,1630063066,0,vb6b0001,1467.0,3271.0,1450.0,0.0,0.0,0.0,0.0
1630063066543145183,1630063066,0,vb6b0001,1467.0,3270.0,1449.0,0.0,0.0,0.0,0.0
1630063066549798674,1630063066,0,vb6b0001,1467.0,3270.0,1448.0,0.0,0.0,0.0,0.0
1630063066556302423,1630063066,0,vb6b0001,1467.0,3269.0,1447.0,0.0,0.0,0.0,0.0
1630063066562750690,1630063066,0,vb6b0001,1468.0,3269.0,1446.0,0.0,0.0,0.0,0.0
1630063066570776674,1630063066,0,vb6b0001,1467.0,3268.0,1449.0,0.0,0.0,0.0,0.0
1630063066580808914,1630063066,0,vb6b0001,1467.0,3268.0,1450.0,0.0,0.0,0.0,0.0
1630063066586733173,1630063066,0,vb6b0001,1466.0,3267.0,1450.0,0.0,0.0,0.0,0.0
1630063066594278191,1630063066,0,vb6b0001,1467.0,3265.0,1450.0,0.0,0.0,0.0,0.0
1630063066601014785,1630063066,0,vb6b0001,1466.0,3265.0,1449.0,0.0,0.0,0.0,0.0
1630063066611794987,1630063066,0,vb6b0001,1466.0,3265.0,1450.0,0.0,0.0,0.0,0.0
1630063066619371957,1630063066,0,vb6b0001,1466.0,3266.0,1448.0,0.0,0.0,0.0,0.0
1630063066621513599,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066632009139,1630063066,0,vb6b0001,1465.0,3265.0,1448.0,0.0,0.0,0.0,0.0
1630063066634744435,1630063066,0,vb6b0001,1465.0,3266.0,1449.0,0.0,0.0,0.0,0.0
1630063066641543381,1630063066,0,vb6b0001,1465.0,3265.0,1449.0,0.0,0.0,0.0,0.0
1630063066650114357,1630063066,0,vb6b0001,1466.0,3264.0,1451.0,0.0,0.0,0.0,0.0
1630063066661146184,1630063066,0,vb6b0001,1467.0,3264.0,1454.0,0.0,0.0,0.0,0.0
1630063066663759551,1630063066,0,vb6b0001,1467.0,3263.0,1454.0,0.0,0.0,0.0,0.0
1630063066670944602,1630063066,0,vb6b0001,1467.0,3262.0,1456.0,0.0,0.0,0.0,0.0
1630063066678870247,1630063066,0,vb6b0001,1467.0,3261.0,1455.0,0.0,0.0,0.0,0.0
1630063066688948616,1630063066,0,vb6b0001,1468.0,3261.0,1456.0,0.0,0.0,0.0,0.0
1630063066694011169,1630063066,0,vb6b0001,1468.0,3261.0,1456.0,0.0,0.0,0.0,0.0
1630063066699742509,1630063066,0,vb6b0001,1468.0,3261.0,1455.0,0.0,0.0,0.0,0.0
1630063066709864374,1630063066,0,vb6b0001,1468.0,3259.0,1455.0,0.0,0.0,0.0,0.0
1630063066717435311,1630063066,0,vb6b0001,1469.0,3258.0,1454.0,0.0,0.0,0.0,0.0
1630063066723366941,1630063066,0,vb6b0001,1470.0,3257.0,1455.0,0.0,0.0,0.0,0.0
1630063066729906095,1630063066,0,vb6b0001,1471.0,3258.0,1454.0,0.0,0.0,0.0,0.0
1630063066740103841,1630063066,0,vb6b0001,1472.0,3257.0,1455.0,0.0,0.0,0.0,0.0
1630063066747527214,1630063066,0,vb6b0001,1474.0,3256.0,1456.0,0.0,0.0,0.0,0.0
1630063066749506175,0,0,,54321.0,54321.0,54321.0,0.0,0.0,0.0,0.0
1630063066757845288,1630063066,0,vb6b0001,1475.0,3255.0,1454.0,0.0,0.0,0.0,0.0
1630063066761011823,1630063066,0,vb6b0001,1476.0,3256.0,1454.0,0.0,0.0,0.0,0.0
1630063066768904677,1630063066,0,vb6b0001,1477.0,3257.0,1453.0,0.0,0.0,0.0,0.0
1630063066775523375,1630063066,0,vb6b0001,1479.0,3255.0,1456.0,0.0,0.0,0.0,0.0
1630063066787611275,1630063066,0,vb6b0001,1480.0,3254.0,1459.0,0.0,0.0,0.0,0.0
1630063066795211538,1630063066,0,vb6b0001,1480.0,3253.0,1459.0,0.0,0.0,0.0,0.0
1630063066801662198,1630063066,0,vb6b0001,1482.0,3253.0,1459.0,0.0,0.0,0.0,0.0
1630063066813196311,1630063066,0,vb6b0001,1484.0,3253.0,1459.0,0.0,0.0,0.0,0.0
1630063066819223153,1630063066,0,vb6b0001,1485.0,3252.0,1459.0,0.0,0.0,0.0,0.0
1630063066825343006,1630063066,0,vb6b0001,1485.0,3252.0,1458.0,0.0,0.0,0.0,0.0
1630063066836770706,1630063066,0,vb6b0001,1486.0,3254.0,1456.0,0.0,0.0,0.0,0.0
